EmployeeID,LastName,FirstName,OccupationID,OccupationTitle
1,ISHEE,SAM,2,SHIFT LEADER
2,STEWART,JON,5,DISTRICT MANAGER
3,GAYLE,CHRIS,1,CUSTOMER SERVICE REPRESENTATIVE
4,McGREGOR,CONNORS,1,CUSTOMER SERVICE REPRESENTATIVE
5,DIAZ,NATE,2,SHIFT LEADER
6,DIAZ,NICK,6,REGIONAL MANAGER
7,OWENS,BENJAMIN,3,ASSISTANT MANAGER
8,SCOTT,MICHAEL,6,REGIONAL MANAGER
9,HALPERT,JIM,4,STORE MANAGER
10,FOSTER,DERRICK,1,CUSTOMER SERVICE REPRESENTATIVE
11,SCHRUTE,DWIGHT,1,CUSTOMER SERVICE REPRESENTATIVE
12,PAIGE,CARRINGTON,4,STORE MANAGER
13,SCHACHT,BRADLEY,5,DISTRICT MANAGER
14,BEESLY,PAM,3,ASSISTANT MANAGER
15,LANDEN,COLLIN,1,CUSTOMER SERVICE REPRESENTATIVE
16,SHOWALTER,CHRISTOPHER,2,SHIFT LEADER
17,MCNAMARA,SEAN,6,REGIONAL MANAGER
18,COLBERT,STEPHEN,4,STORE MANAGER
19,RYAN,DUSTIN,5,DISTRICT MANAGER
20,TROY,CHRISTIAN,6,REGIONAL MANAGER
21,WOOD,JOHN,1,CUSTOMER SERVICE REPRESENTATIVE
22,ENGLE,DANIEL,3,ASSISTANT MANAGER
23,ISHEE,SAM,2,SHIFT LEADER
